Date,Site ID,Latitude,Longitude,pm25,NDVI
2025-07-05,60870007,36.98332,-121.98822,4.2,5409.1660558301965
2025-07-06,60870007,36.98332,-121.98822,4.1,5408.292457996918
2025-07-07,60870007,36.98332,-121.98822,0.7,5407.418860163639
2025-07-08,60870007,36.98332,-121.98822,-0.2,5406.54526233036
2025-07-09,60870007,36.98332,-121.98822,1.2,5405.671664497081
2025-07-10,60870007,36.98332,-121.98822,2.1,5404.798066663801
2025-07-11,60870007,36.98332,-121.98822,1.8,5403.9244688305225
2025-07-12,60870007,36.98332,-121.98822,0.6,5403.050870997244
2025-07-13,60870007,36.98332,-121.98822,0.4,5407.1706241283055
2025-07-14,60870007,36.98332,-121.98822,0.7,5411.290377259366
2025-07-15,60870007,36.98332,-121.98822,0.5,5415.410130390428
2025-07-16,60870007,36.98332,-121.98822,0.3,5419.529883521489
2025-07-17,60870007,36.98332,-121.98822,0.2,5423.649636652551
2025-07-18,60870007,36.98332,-121.98822,1.2,5427.7693897836125
2025-07-19,60870007,36.98332,-121.98822,1.6,5431.889142914673
2025-07-20,60870007,36.98332,-121.98822,1.6,5436.008896045735
2025-07-21,60870007,36.98332,-121.98822,1.6,5440.128649176797
2025-07-22,60870007,36.98332,-121.98822,0.0,5444.248402307858
2025-07-23,60870007,36.98332,-121.98822,-0.5,5448.3681554389195
2025-07-24,60870007,36.98332,-121.98822,-0.2,5452.487908569981
2025-07-25,60870007,36.98332,-121.98822,-0.2,5456.607661701042
2025-07-26,60870007,36.98332,-121.98822,0.2,5460.727414832104
2025-07-27,60870007,36.98332,-121.98822,-0.5,5464.847167963165
2025-07-28,60870007,36.98332,-121.98822,4.9,5468.966921094227
2025-07-29,60870007,36.98332,-121.98822,3.4,5466.619696983495
2025-07-30,60870007,36.98332,-121.98822,2.5,5464.272472872763
2025-07-31,60870007,36.98332,-121.98822,1.5,5461.925248762031
2025-08-01,60870007,36.98332,-121.98822,0.6,5459.578024651299
2025-08-02,60870007,36.98332,-121.98822,0.7,5457.230800540566
2025-08-03,60870007,36.98332,-121.98822,4.2,5454.883576429834
2025-08-04,60870007,36.98332,-121.98822,5.7,5452.536352319102
2025-08-05,60870007,36.98332,-121.98822,4.9,5450.18912820837
2025-08-06,60870007,36.98332,-121.98822,3.1,5447.841904097638
2025-08-07,60870007,36.98332,-121.98822,0.5,5445.494679986906
2025-08-08,60870007,36.98332,-121.98822,5.3,5443.147455876174
2025-08-09,60870007,36.98332,-121.98822,3.0,5440.800231765441
2025-08-10,60870007,36.98332,-121.98822,2.2,5438.453007654709
2025-08-11,60870007,36.98332,-121.98822,3.4,5436.105783543977
2025-08-12,60870007,36.98332,-121.98822,2.8,5433.758559433245
2025-08-13,60870007,36.98332,-121.98822,1.2,5431.411335322513
2025-08-14,60870007,36.98332,-121.98822,0.2,5422.438032636969
2025-08-15,60870007,36.98332,-121.98822,1.8,5413.464729951425
2025-08-16,60870007,36.98332,-121.98822,-1.1,5404.491427265882
2025-08-17,60870007,36.98332,-121.98822,-0.7,5395.518124580338
2025-08-18,60870007,36.98332,-121.98822,1.9,5386.544821894794
2025-08-22,60870007,36.98332,-121.98822,7.7,5350.651611152619
2025-08-23,60870007,36.98332,-121.98822,6.7,5341.678308467075
2025-08-24,60870007,36.98332,-121.98822,5.7,5332.705005781531
2025-08-25,60870007,36.98332,-121.98822,5.7,5323.7317030959875
2025-08-26,60870007,36.98332,-121.98822,6.7,5314.758400410444
2025-08-27,60870007,36.98332,-121.98822,6.8,5305.7850977249
2025-08-28,60870007,36.98332,-121.98822,3.8,5296.811795039356
2025-08-29,60870007,36.98332,-121.98822,4.5,5287.838492353812
2025-08-30,60870007,36.98332,-121.98822,7.1,5298.291141395079
2025-08-31,60870007,36.98332,-121.98822,8.5,5308.743790436346
2025-09-01,60870007,36.98332,-121.98822,7.2,5319.196439477612
2025-09-02,60870007,36.98332,-121.98822,3.8,5329.649088518879
2025-09-03,60870007,36.98332,-121.98822,3.2,5340.101737560146
2025-09-04,60870007,36.98332,-121.98822,1.7,5350.554386601412
2025-09-05,60870007,36.98332,-121.98822,3.2,5361.007035642679
2025-09-06,60870007,36.98332,-121.98822,3.6,5371.459684683945
2025-09-07,60870007,36.98332,-121.98822,1.9,5381.912333725212
2025-09-08,60870007,36.98332,-121.98822,0.7,5392.3649827664785
2025-09-09,60870007,36.98332,-121.98822,1.2,5402.817631807745
2025-09-10,60870007,36.98332,-121.98822,2.3,5413.270280849012
2025-09-11,60870007,36.98332,-121.98822,4.3,5423.7229298902785
2025-09-12,60870007,36.98332,-121.98822,5.7,5434.175578931545
2025-09-13,60870007,36.98332,-121.98822,4.5,5444.628227972812
2025-09-14,60870007,36.98332,-121.98822,1.2,5455.080877014078
2025-09-15,60870007,36.98332,-121.98822,1.8,5455.726650424889
2025-09-16,60870007,36.98332,-121.98822,2.7,5456.372423835701
2025-09-17,60870007,36.98332,-121.98822,4.5,5457.018197246512
2025-09-18,60870007,36.98332,-121.98822,7.0,5457.663970657322
2025-09-19,60870007,36.98332,-121.98822,6.4,5458.309744068134
2025-09-20,60870007,36.98332,-121.98822,5.8,5458.955517478945
2025-09-21,60870007,36.98332,-121.98822,5.5,5459.601290889756
2025-09-22,60870007,36.98332,-121.98822,6.9,5460.247064300567
2025-09-23,60870007,36.98332,-121.98822,7.7,5460.892837711378
2025-09-24,60870007,36.98332,-121.98822,7.7,5461.538611122189
2025-09-25,60870007,36.98332,-121.98822,8.3,5462.1843845329995
2025-09-26,60870007,36.98332,-121.98822,11.3,5462.830157943811
2025-09-27,60870007,36.98332,-121.98822,7.6,5463.475931354622
2025-09-28,60870007,36.98332,-121.98822,4.7,5464.121704765433
2025-09-29,60870007,36.98332,-121.98822,7.6,5464.767478176244
2025-09-30,60870007,36.98332,-121.98822,6.1,5465.413251587055
2025-10-01,60870007,36.98332,-121.98822,3.2,5480.4418435092075
2025-10-02,60870007,36.98332,-121.98822,4.8,5495.47043543136
2025-10-03,60870007,36.98332,-121.98822,5.2,5510.499027353512
2025-10-04,60870007,36.98332,-121.98822,5.7,5525.527619275665
2025-10-05,60870007,36.98332,-121.98822,4.8,5540.556211197816
2025-10-06,60870007,36.98332,-121.98822,6.0,5555.5848031199685
2025-10-07,60870007,36.98332,-121.98822,7.3,5570.613395042121
2025-10-08,60870007,36.98332,-121.98822,6.6,5585.641986964273
2025-10-09,60870007,36.98332,-121.98822,5.2,5600.670578886426
2025-10-10,60870007,36.98332,-121.98822,3.2,5615.699170808578
2025-10-11,60870007,36.98332,-121.98822,3.0,5630.72776273073
2025-10-12,60870007,36.98332,-121.98822,3.8,5645.756354652882
2025-10-13,60870007,36.98332,-121.98822,5.1,5660.784946575034
2025-10-14,60870007,36.98332,-121.98822,4.5,5675.8135384971865
2025-10-15,60870007,36.98332,-121.98822,4.7,5690.842130419339
2025-10-16,60870007,36.98332,-121.98822,5.0,5705.870722341491
2025-10-17,60870007,36.98332,-121.98822,6.1,5705.416484265637
2025-10-18,60870007,36.98332,-121.98822,6.3,5704.962246189783
2025-10-19,60870007,36.98332,-121.98822,7.5,5704.5080081139295
2025-10-20,60870007,36.98332,-121.98822,8.5,5704.0537700380755
2025-10-21,60870007,36.98332,-121.98822,7.1,5703.5995319622225
2025-10-22,60870007,36.98332,-121.98822,7.0,5703.145293886369
2025-10-24,60870007,36.98332,-121.98822,6.1,5702.236817734661
2025-10-25,60870007,36.98332,-121.98822,4.2,5701.782579658807
2025-10-26,60870007,36.98332,-121.98822,4.0,5701.328341582953
2025-10-27,60870007,36.98332,-121.98822,3.8,5700.874103507099
2025-10-28,60870007,36.98332,-121.98822,4.5,5700.419865431246
2025-10-29,60870007,36.98332,-121.98822,5.5,5699.965627355392
2025-10-30,60870007,36.98332,-121.98822,8.4,5699.511389279538
2025-10-31,60870007,36.98332,-121.98822,7.2,5699.057151203684
2025-11-01,60870007,36.98332,-121.98822,6.2,5698.60291312783
2025-11-02,60870007,36.98332,-121.98822,6.5,5724.134008123861
2025-11-03,60870007,36.98332,-121.98822,4.8,5749.6651031198935
2025-11-04,60870007,36.98332,-121.98822,3.9,5775.196198115926
2025-11-05,60870007,36.98332,-121.98822,4.7,5800.727293111957
2025-11-06,60870007,36.98332,-121.98822,4.6,5826.258388107988
2025-11-07,60870007,36.98332,-121.98822,4.2,5851.78948310402
2025-11-08,60870007,36.98332,-121.98822,4.6,5877.320578100052
2025-11-09,60870007,36.98332,-121.98822,4.4,5902.851673096084
2025-11-10,60870007,36.98332,-121.98822,6.3,5928.382768092115
2025-11-11,60870007,36.98332,-121.98822,4.2,5953.913863088147
2025-11-12,60870007,36.98332,-121.98822,5.4,5979.444958084179
2025-11-13,60870007,36.98332,-121.98822,3.2,6004.9760530802105
2025-11-14,60870007,36.98332,-121.98822,3.8,6030.507148076242
2025-11-15,60870007,36.98332,-121.98822,3.8,6056.038243072274
2025-11-16,60870007,36.98332,-121.98822,2.2,6081.569338068306
2025-11-17,60870007,36.98332,-121.98822,3.7,6107.100433064337
2025-11-18,60870007,36.98332,-121.98822,3.5,6109.514673544312
2025-11-19,60870007,36.98332,-121.98822,6.3,6111.928914024287
2025-11-20,60870007,36.98332,-121.98822,4.8,6114.343154504262
2025-11-21,60870007,36.98332,-121.98822,5.4,6116.757394984237
2025-11-22,60870007,36.98332,-121.98822,5.9,6119.171635464212
2025-11-23,60870007,36.98332,-121.98822,7.2,6121.585875944187
2025-11-24,60870007,36.98332,-121.98822,8.1,6124.000116424162
2025-11-25,60870007,36.98332,-121.98822,6.6,6126.414356904137
2025-11-26,60870007,36.98332,-121.98822,8.0,6128.828597384111
2025-11-27,60870007,36.98332,-121.98822,6.5,6131.242837864086
2025-11-28,60870007,36.98332,-121.98822,9.4,6133.657078344061
2025-11-29,60870007,36.98332,-121.98822,7.9,6136.071318824036
2025-11-30,60870007,36.98332,-121.98822,10.0,6138.485559304011
2025-12-01,60870007,36.98332,-121.98822,8.6,6140.899799783986
2025-12-02,60870007,36.98332,-121.98822,8.2,6143.314040263961
2025-12-03,60870007,36.98332,-121.98822,8.4,6145.728280743936
2025-12-04,60870007,36.98332,-121.98822,7.2,6153.148040533261
2025-12-05,60870007,36.98332,-121.98822,8.9,6160.567800322586
2025-12-06,60870007,36.98332,-121.98822,10.4,6167.987560111911
2025-12-07,60870007,36.98332,-121.98822,7.8,6175.4073199012355
2025-12-08,60870007,36.98332,-121.98822,7.4,6182.827079690561
2025-12-09,60870007,36.98332,-121.98822,6.8,6190.246839479885
2025-12-10,60870007,36.98332,-121.98822,7.8,6197.666599269211
2025-12-11,60870007,36.98332,-121.98822,6.0,6205.086359058536
2025-12-12,60870007,36.98332,-121.98822,5.2,6212.50611884786
2025-12-13,60870007,36.98332,-121.98822,5.8,6219.925878637186
2025-12-14,60870007,36.98332,-121.98822,7.6,6227.34563842651
2025-12-15,60870007,36.98332,-121.98822,9.1,6234.765398215835
2025-12-16,60870007,36.98332,-121.98822,7.2,6242.18515800516
2025-12-17,60870007,36.98332,-121.98822,6.5,6249.604917794485
